序號,詞語,級別,注音,漢拼,詞類/性質,詞彙英譯,語義/義項,情境,用法-常用搭配詞,例句
406,牛,第1*級,ㄋㄧㄡˊ,niú,N,"cow, ox, bull",,1.個人資料,一頭牛，牛肉,他喜歡吃牛肉。
407,牛奶,第1*級,ㄋㄧㄡˊ ㄋㄞˇ,niúnǎi,N,milk,,10.餐飲、烹飪,一杯牛奶，喝牛奶,我很喜歡喝牛奶。
408,女,第1*級,ㄋㄩˇ,nǚ,N,female,,核心詞,女人，女學生，女同學，女老師，女醫師,我們學校有很多女老師。
409,怕,第1*級,ㄆㄚˋ,pà,Vs,"to fear, to be afraid of",,核心詞,,我怕胖，不能吃太多。弟弟很怕吃藥，所以不喜歡去看病。
410,旁邊/旁,第1*級,ㄆㄤˊ ㄅㄧㄢ / ㄆㄤˊ,pángbiān / páng,N,"by the side of, beside",,核心詞,在……（的）旁邊，坐在旁邊，桌子旁邊,他坐在我旁邊。床的旁邊有一張桌子。
411,胖,第1*級,ㄆㄤˋ,pàng,Vs,"fat, weight",,7.身體、醫療,,我比他胖一點。
412,便宜,第1*級,ㄆㄧㄢˊ ㄧˊ,piányí,Vs,cheap,,2.日常起居,,這裡的東西很便宜。
413,漂亮,第1*級,ㄆㄧㄠˋ ㄌㄧㄤˋ,piàoliàng,Vs,"beautiful, pretty",,核心詞,,我們學校很漂亮。他很漂亮。
414,起床,第1*級,ㄑㄧˇ ㄔㄨㄤˊ,qǐchuáng,Vp,to get up,,2.日常起居,,我每天早上七點起床。
415,起來,第1*級,ㄑㄧˇ ㄌㄞˊ,qǐlái,Vp,to get up,起床。,核心詞,,九點了，快起來！我今天早上起來的時候，外面在下雨。
416,前面,第1*級,ㄑㄧㄢˊ ㄇㄧㄢˋ,qiánmiàn,N,front,,核心詞,走在前面，N的前面,我前面坐著一個美國人。
417,前年,第1*級,ㄑㄧㄢˊ ㄋㄧㄢˊ,qiánnián,N,the year before last year,,核心詞,,我前年在台灣工作。
418,前天,第1*級,ㄑㄧㄢˊ ㄊㄧㄢ,qiántiān,N,the day before yesterday,,核心詞,前天晚上，前天下午,前天我跟朋友一起去玩。
419,球,第1*級,ㄑㄧㄡˊ,qiú,N,ball,,4.休閒、娛樂,打球，玩球,明天要不要一起去公園打球？
420,然後,第1*級,ㄖㄢˊ ㄏㄡˋ,ránhòu,Conj,"and then, after that",,核心詞,然後就，然後再,我們先去吃午餐，然後再去上課。
421,肉,第1*級,ㄖㄡˋ,ròu,N,meat,,10.餐飲、烹飪,魚肉，雞肉,你應該少吃肉，多吃菜。
422,山,第1*級,ㄕㄢ,shān,N,"mountain, hill",,核心詞,上山，下山，山上，山下，高山,我們學校在山下。
423,上課,第1*級,ㄕㄤˋ ㄎㄜˋ,shàngkè,V,"t give lessons, to go to class",,8.教育、學習,上中文課,我每天早上八點去學校上課。
424,生病,第1*級,ㄕㄥ ㄅㄧㄥˋ,shēngbìng,Vp,"get sick, be ill",,7.身體、醫療,,我昨天生病了，所以沒有來上課。
425,生日,第1*級,ㄕㄥ ㄖˋ,shēngrì,N,birthday,,1.個人資料,,今天是我二十五歲生日。你的生日是幾月幾號？
426,身體,第1*級,ㄕㄣ ㄊㄧˇ,shēntǐ,N,body,,7.身體、醫療,身體不舒服,我可能感冒了，身體不太舒服。
427,身體,第1*級,ㄕㄣ ㄊㄧˇ,shēntǐ,N,health,,7.身體、醫療,身體好，身體不好,他身體不舒服。多運動對身體好。
428,事/事兒,第1*級,ㄕˋ / ㄕˋ ㄦ,shì / shìr,N,"thing, matter, affair",,核心詞,這件事，做事,這件事不要跟他說。你找我有什麼事？
429,手,第1*級,ㄕㄡˇ,shǒu,N,hand,,核心詞,兩隻手，手裡,他手裡拿著很多東西。
430,瘦,第1*級,ㄕㄡˋ,shòu,Vs,"thin, slim, skinny",,7.身體、醫療,又高又瘦，高高瘦瘦，高矮胖瘦，瘦小,我的老師又高又瘦。
431,舒服,第1*級,ㄕㄨ ˙ㄈㄨ,shūfu,Vs,"feel well, comfortable",,核心詞,,今天的天氣很舒服，不冷也不熱。我今天身體不舒服，不能去上課。
432,水果,第1*級,ㄕㄨㄟˇ ㄍㄨㄛˇ,shuǐguǒ,N,fruit,,10.餐飲、烹飪,,台灣的水果很好吃。
433,說話,第1*級,ㄕㄨㄛ ㄏㄨㄚˋ,shuōhuà,V,to talk,,核心詞,跟……說話,考試的時候不能跟別人說話。她昨天晚上跟我說了很多話。
434,所以,第1*級,ㄙㄨㄛˇ ㄧˇ,suǒyǐ,Conj,"so, therefore",,核心詞,因為……，所以……,他因為生病，所以沒來上課。
435,它,第1*級,ㄊㄚ,tā,N,it,,核心詞,,我很喜歡這家餐廳，它的東西都很好吃。
436,湯,第1*級,ㄊㄤ,tāng,N,soup,,10.餐飲、烹飪,一碗湯，喝湯,今天好冷，喝點熱湯吧！
437,天氣,第1*級,ㄊㄧㄢ ㄑㄧˋ,tiānqì,N,weather,,5.交通、旅遊,天氣熱，天氣冷，好天氣,明天的天氣怎麼樣？今天天氣很好。
438,甜,第1*級,ㄊㄧㄢˊ,tián,Vs,sweet,,10.餐飲、烹飪,,這水果很甜。他不喜歡吃甜的東西。
439,跳,第1*級,ㄊㄧㄠˋ,tiào,V,to jump,,核心詞,跳上去，跳下來,小孩子喜歡在床上跳來跳去。
440,跳舞,第1*級,ㄊㄧㄠˋ ㄨˇ,tiàowǔ,V,to dance,,4.休閒、娛樂,,他跳舞跳得很好。他又會唱歌，又會跳舞。
441,聽見,第1*級,ㄊㄧㄥ ㄐㄧㄢˋ,tīngjiàn,Phrase,to hear,,核心詞,聽得見，聽不見,你說什麼，我聽不見。
442,痛,第1*級,ㄊㄨㄥˋ,tòng,Vs,painful,,核心詞,,我感冒了，頭很痛。
443,頭,第1*級,ㄊㄡˊ,tóu,N,head,,核心詞,頭上，頭痛,我感冒了，我的頭很痛。
444,頭,第1*級,ㄊㄡˊ,tóu,M,classifier for pigs or livestock,,核心詞,一頭牛，一頭豬,奶奶家有好幾頭豬。
445,外國,第1*級,ㄨㄞˋ ㄍㄨㄛˊ,wàiguó,N,foreign country,,核心詞,外國人，外國學生,我們班上有很多外國學生。
446,外頭,第1*級,ㄨㄞˋ ˙ㄊㄡ,wàitou,N,outside,外面。,核心詞,在外頭，走到外頭，房子外頭,外頭很冷，多穿一點！
447,玩,第1*級,ㄨㄢˊ,wán,V,to have fun,,核心詞,一起玩，出去玩,明天要不要出去玩？
448,玩,第1*級,ㄨㄢˊ,wán,V,"to play, to enjoy",,核心詞,玩電腦，玩球,他很喜歡玩電腦。
449,晚,第1*級,ㄨㄢˇ,wǎn,Vs,late,,核心詞,,我今天起得太晚。
450,晚餐/晚飯,第1*級,ㄨㄢˇ ㄘㄢ / ㄨㄢˇ ㄈㄢˋ,wǎncān / wǎnfàn,N,dinner,,核心詞,吃晚餐,今天晚餐你想吃什麼？
451,碗,第1*級,ㄨㄢˇ,wǎn,N,bowl,,10.餐飲、烹飪,大碗，洗碗,我的碗裡有飯也有菜。桌上有三個碗、三雙筷子。
452,碗,第1*級,ㄨㄢˇ,wǎn,M,classifier for calculating the contents of the bowl,,10.餐飲、烹飪,一碗飯，兩碗牛肉麵，一碗湯,我吃了兩碗飯，喝了一碗湯。
453,萬,第1*級,ㄨㄢˋ,wàn,N,ten thousand,10000,核心詞,三萬，百萬，千萬,我們學校有一萬多個人。
454,為什麼,第1*級,ㄨㄟˋ ㄕㄣˊ ˙ㄇㄛ,wèishénme,Phrase,why,,核心詞,,你昨天為什麼沒來上課？你為什麼學中文？
455,午餐/午飯,第1*級,ㄨˇ ㄘㄢ / ㄨˇ ㄈㄢˋ,wǔcān / wǔfàn,N,lunch,,核心詞,吃午餐，午餐時間,今天午餐要吃什麼？
456,下,第1*級,ㄒㄧㄚˋ,xià,N,under,,核心詞,桌子下，床下，樹下,我的狗在桌子下睡覺。我坐在樹下看書。
457,下,第1*級,ㄒㄧㄚˋ,xià,N,next,,核心詞,下個月，下星期,下星期我要去法國。
458,下,第1*級,ㄒㄧㄚˋ,xià,V,to down,,核心詞,下樓，下去,我下樓去買咖啡。
459,下,第1*級,ㄒㄧㄚˋ,xià,V,get off (transports),,核心詞,下車，下公車，下火車，下飛機,我要在這裡下車。
460,下課,第1*級,ㄒㄧㄚˋ ㄎㄜˋ,xiàkè,Phrase,"after class, after school",,8.教育、學習,三點下課，下課以後,我們今天下午三點下課。
461,下雨,第1*級,ㄒㄧㄚˋ ㄩˇ,xiàyǔ,Phrase,to rain,,13.自然環境,下了一天的雨,明天會下雨。昨天下了一天的雨。
462,先,第1*級,ㄒㄧㄢ,xiān,Adv,first,,核心詞,先……，先……再，先……然後,先洗手再吃飯。你有事可以先回家。
463,像,第1*級,ㄒㄧㄤˋ,xiàng,V,to resemble,,核心詞,A像B,他長得像他媽媽
464,像,第1*級,ㄒㄧㄤˋ,xiàng,Vs,to be similar,,核心詞,,他長得和他爸爸很像。
465,小吃,第1*級,ㄒㄧㄠˇ ㄔ,xiǎochī,N,"snack, street food",,9.購物、商店,小吃店，吃小吃,我今天晚上不餓，所以只吃了點小吃。台灣的小吃很好吃。學校附近有很多小吃店。
466,鞋子/鞋,第1*級,ㄒㄧㄝˊ ˙ㄗ / ㄒㄧㄝˊ,xiézi / xié,N,shoe(s),,核心詞,一雙鞋子，穿鞋子，新鞋子,他買了一雙新鞋。這雙鞋子要一千五百元。
467,星期,第1*級,ㄒㄧㄥ ㄑㄧˊ,xīngqí,N,week,,核心詞,一個星期，下（個）星期，這個星期,一個星期有七天。下星期要考試。
468,姓,第1*級,ㄒㄧㄥˋ,xìng,N,"surname, family name",,1.個人資料,你姓什麼，我姓……,你好，我姓王，叫小明。
469,休息,第1級,ㄒㄧㄡ ㄒㄧˊ,xiūxí,V,"to rest,to take a break",,7.身體、醫療,回家休息，休息十分鐘，休息時間,累了就休息休息！我們休息十分鐘。
470,眼睛,第1*級,ㄧㄢˇ ㄐㄧㄥ,yǎnjīng,N,eye,,7.身體、醫療,一雙眼睛,他的眼睛大大的，嘴巴小小的。
471,藥,第1*級,ㄧㄠˋ,yào,N,"medicine, drugs",,7.身體、醫療,吃藥，感冒藥,醫生說：「多休息，不用吃藥」。
472,一定,第1*級,ㄧˊ ㄉㄧㄥˋ,yídìng,Adv,"certainly, definitely",,核心詞,一定會，一定是，一定知道，ㄧ定要,我明天一定會去學校。感冒的時候一定要多休息。
473,一共/共,第1*級,ㄧˊ ㄍㄨㄥˋ / ㄍㄨㄥˋ,yígòng / gòng,Adv,"altogether, in total",,核心詞,一共花了十年，一共八個，一共八十元,一個麵包二十五元，一個包子二十元，一共四十五元。
474,一樣,第1*級,ㄧˊ ㄧㄤˋ,yíyàng,Vs,same,,核心詞,都一樣，不一樣，完全一樣A跟B（不）一樣,他們的名字一樣，都是Mary。這兩個字的意思不一樣。
475,一樣,第1*級,ㄧˊ ㄧㄤˋ,yíyàng,Adv,equally,,核心詞,一樣高，一樣大,這兩個房間一樣大。哥哥跟弟弟一樣高。
476,一點/一點點/一點兒,第1*級,ㄧˋ ㄉㄧㄢˇ / ㄧˋ ㄉㄧㄢˇ ㄉㄧㄢˇ / ㄧˋ ㄉㄧㄢˇ ㄦ,yìdiǎn / yìdiǎndiǎn / yìdiǎr,Det,a little,很少。,核心詞,一點時間，一點錢,我還有一點時間，可以跟你一起喝一杯咖啡。
477,一些,第1*級,ㄧˋ　ㄒㄧㄝ,yìxiē,Det,"some, a number of, a few",,核心詞,一些＋N,他買了一些水果。桌上有一些錢。
478,衣服/衣,第1*級,ㄧ ㄈㄨˊ / ㄧ,yīfú / yī,N,"clothing, clothes",,核心詞,一件衣服，穿衣服，漂亮的衣服,他今天買了很多衣服。
479,以後,第1*級,ㄧˇ ㄏㄡˋ,yǐhòu,N,after,,核心詞,三點以後，上課以後，一個月以後,兩個月以後我要去日本。
480,以後,第1*級,ㄧˇ ㄏㄡˋ,yǐhòu,N,in the future,,核心詞,,我以後每個周末都要去運動。
481,以前,第1*級,ㄧˇ ㄑㄧㄢˊ,yǐqián,N,before,,核心詞,三點以前，吃飯以前，三天以前,他常常睡覺以前看書。吃飯以前要洗手。
482,以前,第1*級,ㄧˇ ㄑㄧㄢˊ,yǐqián,N,in the past,,核心詞,,我以前喜歡喝茶，現在喜歡喝咖啡。以前這裡有很多餐廳。
483,椅子/椅,第1*級,ㄧˇ ˙ㄗ / ㄧˇ,yǐzi / yǐ,N,chair,,核心詞,一張椅子，椅子上,他坐在椅子上看書。我的房間裡有一張桌子、兩張椅子。
484,意思,第1*級,ㄧˋ ˙ㄙ,yìsi,N,meaning,,核心詞,,這個字是什麼意思？
485,應該/應,第1*級,ㄧㄥ ㄍㄞ / ㄧㄥ,yīnggāi / yīng,Vaux,"should, ought to",,核心詞,應該（不）要,這個字應該這樣寫。你感冒了，應該多休息。
486,應該/應,第1*級,ㄧㄥ ㄍㄞ / ㄧㄥ,yīnggāi / yīng,Adv,probably,,核心詞,,現在已經十點了，他應該不會來了。
487,因為,第1*級,ㄧㄣ ㄨㄟˋ,yīnwèi,Conj,because,,核心詞,因為……，所以……,他因為生病，所以今天沒來上課。
488,有點/有一點/有點兒,第1*級,ㄧㄡˇ ㄉㄧㄢˇ / ㄧㄡˇ ㄧˋ ㄉㄧㄢˇ / ㄧㄡˇ ㄉㄧㄢˇ ㄦ,yǒudiǎn / yǒuyìdiǎn / yǒudiǎnr,Phrase,a little,,核心詞,有點冷，有點晚，有點累,我覺得今天有點冷。我今天有點累，想早一點睡覺。這個句子有點難，不容易懂。
489,有時候/有時,第1*級,ㄧㄡˇ ㄕˊ ㄏㄡˋ / 一ㄡˇ ㄕˊ,yǒushíhòu / yǒushí,Phrase,"sometimes, occasionally",,核心詞,,我有時候自己做飯，有時候在餐廳吃飯。我們有時候會去公園打球。
490,又,第1*級,ㄧㄡˋ,yòu,Adv,"again, repeatedly",,核心詞,,我昨天看了一次，今天又看了一次。
491,又,第1*級,ㄧㄡˋ,yòu,Adv,more,,核心詞,,我吃了一碗飯，又吃了一個麵包。
492,右,第1*級,ㄧㄡˋ,yòu,N,right,,核心詞,右手，右腳,他用右手寫字。
493,右邊,第1*級,ㄧㄡˋ ㄅㄧㄢ,yòubiān,N,the right-hand side,,核心詞,往右邊，在右邊，從右邊,我們學校的右邊就是火車站。
494,魚,第1*級,ㄩˊ,yú,N,fish,,10.餐飲、烹飪,一條魚，魚肉,水裡有很多魚。今天晚餐吃魚。
495,雨,第1*級,ㄩˇ,yǔ,N,rain,,13.自然環境,大雨，小雨,外面的雨好大。明天會下大雨。
496,運動,第1*級,ㄩㄣˋ ㄉㄨㄥˋ,yùndòng,V,to exercise,,4.休閒、娛樂,,你應該多運動。
497,運動,第1*級,ㄩㄣˋ ㄉㄨㄥˋ,yùndòng,N,sports,,4.休閒、娛樂,做運動,媽媽每天早上去公園做運動。我最喜歡的運動是打球。
498,在,第1*級,ㄗㄞˋ,zài,Vs,"be at, be in,be on",,核心詞,在家，在教室，在房間，在餐廳,她在房間。他不在家。
499,在,第1*級,ㄗㄞˋ,zài,Prep,"be at, be in,be on",,核心詞,在家休息,他喜歡在床上看書。
500,在,第1*級,ㄗㄞˋ,zài,Vs,to be doing (something),,核心詞,在上課，在睡覺,你在做什麼？他在寫功課。
501,再,第1*級,ㄗㄞˋ,zài,Adv,again,,核心詞,,請你再說一次。
502,再,第1*級,ㄗㄞˋ,zài,Adv,more (time),,核心詞,再看5分鐘,我想再睡十分鐘。
503,再,第1*級,ㄗㄞˋ,zài,Adv,more,,核心詞,,我想再喝一杯咖啡。
504,早餐/早飯,第1*級,ㄗㄠˇ ㄘㄢ / ㄗㄠˇ ㄈㄢˋ,zǎocān / zǎofàn,N,breakfast,,核心詞,吃早餐，早餐店,那家早餐店的包子很好吃。我早餐吃了一個麵包。
505,怎麼樣,第1*級,ㄗㄣˇ ˙ㄇㄜ ㄧㄤˋ,zěnmeyàng,Phrase,How about...?,,核心詞,,你最近怎麼樣？
506,站,第1*級,ㄓㄢˋ,zhàn,V,to stand,,核心詞,,他站在桌子旁邊。
507,站,第1*級,ㄓㄢˋ,zhàn,N,"station, (bus) stop",,核心詞,台北站，火車站，公車站,下一站是師大站。我家附近有公車站。
508,張,第1*級,ㄓㄤ,zhāng,M,classifier for flat objects,,核心詞,一張紙，一張桌子，一張嘴,上課的時候老師給我們幾張紙畫畫。我的房間裡面有一張桌子、兩張椅子，還有一張床。
509,真,第1*級,ㄓㄣ,zhēn,Adv,"really, truly, indeed",,核心詞,真好，真多，真（是）……，真想,今天天氣真好，我們一起出去走走吧！我好累，真想休息。他長得真漂亮。
510,真,第1*級,ㄓㄣ,zhēn,Vs,"true, real",,核心詞,真的，真話,這件事是真的。你說的是真話嗎？
511,真的,第1*級,ㄓㄣ ˙ㄉㄜ,zhēnde,Adv,"really, very",,核心詞,,我真的很喜歡台灣。這裡真的很漂亮。
512,枝,第1*級,ㄓ,zhī,M,"classifier for pen,   stick, rod, etc.",,核心詞,一枝筆,我有三枝筆。
513,只,第1*級,ㄓˇ,zhǐ,Adv,"merely, only",,核心詞,,他只會說英文。我只喝了一杯咖啡。
514,紙,第1*級,ㄓˇ,zhǐ,N,paper,,核心詞,三張紙,請你在這張紙上寫你的名字。
515,中1,第1*級,ㄓㄨㄥ,zhōng,Vs,medium,,核心詞,中杯,他買了一杯中杯咖啡
516,鐘頭,第1*級,ㄓㄨㄥ ㄊㄡˊ,zhōngtóu,M,hour,,核心詞,幾個鐘頭，半個鐘頭，兩個鐘頭,我昨天晚上睡了八個鐘頭。再過半個鐘頭就下課了。
517,週末/周末,第1*級,ㄓㄡ ㄇㄛˋ / ㄓㄡ ㄇㄛˋ,zhōumò / zhōumò,N,weekend,,核心詞,每個週末，這個週末,這個週末我要去台北玩。
518,豬,第1*級,ㄓㄨ,zhū,N,pig,,1.個人資料,一頭豬，豬肉,他喜歡吃豬肉，不喜歡吃牛肉。
519,住,第1*級,ㄓㄨˋ,zhù,V,"to reside, to dwell",生活的地方。,核心詞,住（在）這裡，住（在）附近，住在一起,我住在臺北。
520,住,第1*級,ㄓㄨˋ,zhù,V,to stay,,核心詞,,我上個週末住在朋友家。
521,桌子/桌,第1*級,ㄓㄨㄛ ˙ㄗ / ㄓㄨㄛ,zhuōzi / zhuō,N,"table, desk",,核心詞,一張桌子，（放）在桌上,桌上有一本書。我的房間有一張桌子。
522,桌子/桌,第1*級,ㄓㄨㄛ ˙ㄗ / ㄓㄨㄛ,zhuōzi / zhuō,M,classifier for dishes,,核心詞,一桌菜,他今天晚上做了一桌好菜。
523,自己,第1*級,ㄗˋ ㄐㄧˇ,zìjǐ,N,self,,核心詞,我自己,今天你要自己坐車去學校。你不去沒關係，我自己去。
524,走路,第1*級,ㄗㄡˇ ㄌㄨˋ,zǒulù,V,to walk,,核心詞,走路去……,我每天走路去學校。從我家走路到公車站只要五分鐘。
525,嘴巴/嘴,第1*級,ㄗㄨㄟˇ ˙ㄅㄚ / ㄗㄨㄟˇ,zuǐba / zuǐ,N,mouth,,7.身體、醫療,一張嘴,他的眼睛大大的，嘴巴小小的。嘴裡有東西的時候不要說話。
526,最,第1*級,ㄗㄨㄟˋ,zuì,Adv,the most,,核心詞,最大，最高，最喜歡,我最喜歡吃牛肉。我們家，哥哥最高。
527,左,第1*級,ㄗㄨㄛˇ,zuǒ,N,left,,核心詞,左手，左腳，左邊,他用左手寫字。他坐在我的左邊。
528,啊,第2級,ㄚ ˙ㄚ,ā a,Ptc,"interjection of surprise or doubt, Eh?, My!, what's up?, Ah!, Oh!",,,,啊！車子壞了！
529,啊,第2級,ㄚ ˙ㄚ,ā a,Ptc,"interjection or grunt of agreement, uhm, Ah, OK",,,是啊,你的想法不錯啊！
530,把,第2級,ㄅㄚˇ,bǎ,M,"classifier for objects with handle, classifier for small objects: handful",,核心詞,一把刀，兩把椅子，一把青菜,教室裡有一張桌子，四把椅子。
531,班,第2級,ㄅㄢ,bān,N,class,在一個教室裡一起上課、學習。,核心詞,全班，每個班，我們班,他這次的考試是全班第一。
532,班,第2級,ㄅㄢ,bān,M,classifier for flights or run number,,核心詞,這班火車，這班飛機,往山上的公車每天只有三班。
533,辦法,第2級,ㄅㄢˋ ㄈㄚˇ,bànfǎ,N,"method, way, means",做事情的方法。,3.職業,,想早一點起床最好的辦法就是早一點睡覺。
534,幫,第2級,ㄅㄤ,bāng,Prep,for,替別人做事情。,核心詞,,請你幫我買一杯咖啡。
535,幫忙,第2級,ㄅㄤ ㄇㄤˊ,bāngmáng,V,"to help, to aid, to assist, help, aid, assistance",替別人做事情。,核心詞,幫他的忙,搬家的時候，他幫了我們很多忙。
536,幫助,第2級,ㄅㄤ ㄓㄨˋ,bāngzhù,V,"to help, to aid, to assist",替別人做事情。,核心詞,幫助我們,他常常幫助別人。
537,幫助,第2級,ㄅㄤ ㄓㄨˋ,bāngzhù,N,"help, aid, assistance",,核心詞,很大的幫助,我剛到這裡的時候，室友給我很大的幫助。
538,棒,第2級,ㄅㄤˋ,bàng,Vs,"wonderful, excellent",很好。,核心詞,真棒，太棒了,他的這個想法真棒。
539,北,第2級,ㄅㄟˇ,běi,N,north,,核心詞,往北走,法國從北到南的風景都不一樣。
540,包,第2級,ㄅㄠ,bāo,V,to wrap,,核心詞,包餃子，包起來,媽媽包的餃子很好吃。
541,被,第2級,ㄅㄟˋ,bèi,Prep,passive form marker,,核心詞,,我的蛋糕被誰吃了？
542,本來,第2級,ㄅㄣˇ ㄌㄞˊ,běnlái,Adv,"originally, at first",,核心詞,本來……，後來……,我本來打算走路去學校，後來決定坐公車。
543,變,第2級,ㄅㄧㄢˋ,biàn,Vp,"to become, to change, to transform, to alter",跟本來的不一樣了。,核心詞,變胖了，變好了,我來台灣才一個月，就變胖了。
544,別人,第2級,ㄅㄧㄝˊ ㄖㄣˊ,biérén,N,other people,其他人。,核心詞,幫助別人，告訴別人,這件事情你不可以告訴別人。
545,比較/較,第2級,ㄅㄧˇ ㄐㄧㄠˋ / ㄐㄧㄠˋ,bǐjiào / jiào,Adv,"relatively, comparatively",,核心詞,比較多，比較少，較大，較小,在法國，喜歡足球的人比較多，喜歡棒球的人比較少。
546,比較/較,第2級,ㄅㄧˇ ㄐㄧㄠˋ / ㄐㄧㄠˋ,bǐjiào / jiào,V,to compare,看哪一個好，哪一個壞，或是哪一個多，哪一個少。,核心詞,,我先比較兩個地方，再決定去哪裡旅行。
547,比賽,第2級,ㄅㄧˇ ㄙㄞˋ,bǐsài,V,to compete,用一些方法決定誰比較好。,4.休閒、娛樂,,我們比賽誰跑得快！
548,比賽,第2級,ㄅㄧˇ ㄙㄞˋ,bǐsài,N,"competition, contest, game",,4.休閒、娛樂,說故事比賽，籃球比賽,這次的籃球比賽我們班是第一名。
549,病人,第2級,ㄅㄧㄥˋ ㄖㄣˊ,bìngrén,N,patient,生病的人。,7.身體、醫療,一位病人,最近比較冷，感冒的病人很多。
550,部,第2級,ㄅㄨˋ,bù,M,"classifier for films, machines, etc.",,核心詞,兩部電影，三部電腦,上個周末，我看了兩部電影。每一間教室裡都有一部電腦。
551,部分/部份,第2級,ㄅㄨˋ ㄈㄣˋ,bùfèn,Vs,parts of,全部裡面的一些。,核心詞,大部分,大部分的外國學生都喜歡台灣小吃。
552,部分/部份,第2級,ㄅㄨˋ ㄈㄣˋ,bùfèn,N,"part, section, piece",,核心詞,一個部分,這次的考試有兩個部分，一個部分是寫字，一個部份是說話。
553,不過,第2級,ㄅㄨˊ ㄍㄨㄛˋ,búguò,Conj,"but, however",但是。,核心詞,,雖然來台灣學中文很辛苦，不過也認識了很多外國朋友。
554,才,第2級,ㄘㄞˊ,cái,Adv,only,只有。,核心詞,才三人，才100塊,他學中文才半年，就已經可以跟台灣人聊天了。
555,參加,第2級,ㄘㄢ ㄐㄧㄚ,cānjiā,V,"to join, to attend",去跟別人一起做一件事。,核心詞,參加活動，參加比賽,我跟朋友一起參加游泳比賽。
556,差不多,第2級,ㄔㄚ　 ㄅㄨˋ ㄉㄨㄛ,chābùduō,Vs,about the same,很像，沒什麼不一樣的地方。,核心詞,A跟B差不多,這兩家餐廳的菜，味道差不多。
557,差不多,第2級,ㄔㄚ　 ㄅㄨˋ ㄉㄨㄛ,chābùduō,Adv,"about, roughly, almost",,核心詞,差不多九點了，差不多快上課了,他差不多快到了，我們先去餐廳裡面等吧！
558,場,第2級,ㄔㄤˇ,chǎng,M,classifier for sporting or recreational activities,,核心詞,一場比賽，一場電影,這一場棒球比賽打了三個小時了。
559,成績,第2級,ㄔㄥˊ ㄐㄧ,chéngjī,N,"achievement, performance records, grades",學習、工作或是考試的結果。,8.教育、學習,考試成績，成績不錯,這次考試的成績不錯，所以我很高興。
560,春天/春,第2級,ㄔㄨㄣ ㄊㄧㄢ / ㄔㄨㄣ,chūntiān / chūn,N,spring,冬天以後，夏天以前的時候。,核心詞,今年春天，春夏秋冬,春天到了，公園有各種顏色的花。
561,次,第2級,ㄘˋ,cì,M,classifier for enumerated events: time,,核心詞,第三次，這一次，每一次，好幾次,這是我第三次到英國旅行。
562,戴,第2級,ㄉㄞˋ,dài,V,"to put on or wear (glasses, hat, gloves, etc.)",,核心詞,戴著帽子，戴眼鏡,他上課的時候會戴眼鏡。
563,大人,第2級,ㄉㄚˋ ㄖㄣˊ,dàrén,N,"adults, grownups, elder",,核心詞,,大人跟小孩的想法常常不一樣。
564,當1,第2級,ㄉㄤ,dāng,V,"to be, to serve as, to take charge of",做一種工作。,核心詞,當老師，當醫生,我想當老師，教小朋友畫畫。
565,當然,第2級,ㄉㄤ ㄖㄢˊ,dāngrán,Adv,"of course, certainly",事情應該是這個樣子。,核心詞,當然可以,他是我們學校的學生，當然可以借圖書館的書。
566,但是/但,第2級,ㄉㄢˋ ㄕˋ / ㄉㄢˋ,dànshì / dàn,Conj,"but, however",可是。,核心詞,雖然……但是……,雖然今天下雨，但是我還是會去跑步。
567,道1,第2級,ㄉㄠˋ,dào,M,"classifier for doors, dishes,  etc.",,核心詞,一道菜,我們點了三道菜。
568,德國,第2級,ㄉㄜˊ ㄍㄨㄛˊ,déguó,N,Germany,,1.個人資料,德國人，德國文化,我有一些德國朋友。
569,地2,第2級,˙ㄉㄜ,de,Ptc,adverbial marker,,核心詞,高興地，小心地,他高興地說：「我的生日快到了！」
570,地1,第2*級,ㄉㄧˋ,dì,N,"land, ground, floor",,核心詞,地上，地下，地面,小孩子喜歡坐在公園的地上玩。
571,電,第2級,ㄉㄧㄢˋ,diàn,N,"electricity, power",,核心詞,,我的手機沒電了，所以沒辦法打電話。
572,第一,第2級,ㄉㄧˋ ㄧ,dìyī,Det,"the first, the most, the best, the most important",最前面的。,核心詞,第一次，第一天,我第一次開車，所以很緊張。他總是第一個到教室。他是這次比賽的第一名。
573,冬天/冬,第2級,ㄉㄨㄥ ㄊㄧㄢ / ㄉㄨㄥ,dōngtiān / dōng,N,winter,一年裡最冷的幾個月。,核心詞,那年冬天，冬天下雪,有的國家冬天下雪，有的國家冬天不下雪。在我的國家，冬天有很多好玩的活動。
574,方法,第2級,ㄈㄤ ㄈㄚˇ,fāngfǎ,N,"method, way",做一件事情的辦法。,8.教育、學習,一個方法，學習的方法,學語言最好的方法是多聽、多說。
575,放,第2級,ㄈㄤˋ,fàng,V,"to put, to place",,核心詞,放在桌上，放著,他的外套放在椅子上。
576,發現,第2級,ㄈㄚ ㄒㄧㄢˋ,fāxiàn,Vp,"to discover, found",找到以前沒有見過的東西或是事情。,核心詞,,旅行的時候，會發現很多有意思的事情。
577,份,第2級,ㄈㄣˋ,fèn,M,"classifier for gifts, newspaper, magazine, papers, reports, contracts, etc.",,核心詞,一份工作，一份禮物，三份報紙,他的生日快到了，我要送他一份禮物。
