序號,詞語,級別,注音,漢拼,詞類/性質,詞彙英譯,語義/義項,情境,用法-常用搭配詞,例句
853,辣,第2*級,ㄌㄚˋ,là,Vs,spicy,一種味道。,10.餐飲、烹飪,辣的味道,這道菜太辣了，我不太喜歡。
854,藍,第2*級,ㄌㄢˊ,lán,Vs,blue,,核心詞,藍色，藍天,他總是穿藍色的衣服。
855,籃球,第2*級,ㄌㄢˊ ㄑㄧㄡˊ,lánqiú,N,basketball,,4.休閒、娛樂,打籃球，籃球比賽,這次的籃球比賽，我們學校是第二名。
856,冷氣,第2*級,ㄌㄥˇ ㄑㄧˋ,lěngqì,N,air conditioner,,2.日常起居,一台（臺）冷氣，開冷氣,夏天很熱，沒開冷氣很不舒服。
857,禮拜,第2*級,ㄌㄧˇ ㄅㄞˋ,lǐbài,N,week (term used in Taiwan),星期。,核心詞,禮拜一，下個禮拜，一個禮拜,我禮拜三的早上沒有課。我要到日本玩一個禮拜。
858,零,第2*級,ㄌㄧㄥˊ,líng,N,zero,0,核心詞,,一萬有四個零。
859,樓上,第2*級,ㄌㄡˊ ㄕㄤˋ,lóushàng,N,upstairs,這一樓的上面。,2.日常起居,樓上的房間,洗手間在樓上。
860,樓梯,第2*級,ㄌㄡˊ ㄊㄧ,lóutī,N,"stairs, staircase",,2.日常起居,走樓梯,我家沒有電梯，每天都要走樓梯。
861,樓下,第2*級,ㄌㄡˊ ㄒㄧㄚˋ,lóuxià,N,downstairs,這一樓的下面。,2.日常起居,樓下的餐廳,我家樓下有一家很有名的麵包店。
862,旅館,第2*級,ㄌㄩˇ ㄍㄨㄢˇ,lǚguǎn,N,"hotel, inn",旅行的時候住的地方。,4.休閒、娛樂,一家旅館,旅行以前，記得先找旅館。
863,路口,第2*級,ㄌㄨˋ ㄎㄡˇ,lùkǒu,N,intersection (of roads),,5.交通、旅遊,一個路口,前面的路口有一家便利商店。
864,麻煩,第2*級,ㄇㄚˊ ㄈㄢˊ,máfán,Vs,"troublesome, annoying, inconvenient",事情不簡單，不容易做。,核心詞,,自己包餃子有一點麻煩。
865,麻煩,第2*級,ㄇㄚˊ ㄈㄢˊ,máfán,V,"to trouble, to bother, to put sb to trouble",要別人幫忙做事情。,核心詞,麻煩別人,我習慣自己做事，不喜歡麻煩別人。
866,馬路,第2*級,ㄇㄚˇ ㄌㄨˋ,mǎlù,N,"road, street",,5.交通、旅遊,一條馬路，過馬路,過馬路的時候要注意車子。
867,饅頭,第2*級,ㄇㄢˊ ˙ㄊㄡ,mántou,N,"steamed bun,  steamed roll, steamed bread",,10.餐飲、烹飪,一個饅頭,我買了一些饅頭回家當早餐。
868,慢跑,第2*級,ㄇㄢˋ ㄆㄠˇ,mànpǎo,V,to jog,,4.休閒、娛樂,,我的室友每天早上都會去河邊慢跑。
869,帽子/帽,第2*級,ㄇㄠˋ ˙ㄗ / ㄇㄠˋ,màozi / mào,N,"hat, cap",,9.購物、商店,戴帽子，脫帽子，棒球帽,他今天戴著的藍色帽子很好看。
870,門票,第2*級,ㄇㄣˊ ㄆㄧㄠˋ,ménpiào,N,ticket,想進去一個地方看的時候，付錢拿到的紙。,4.休閒、娛樂,一張門票,他買了一張故宮的門票。
871,奶茶,第2*級,ㄋㄞˇ ㄔㄚˊ,nǎichá,N,milk tea,,10.餐飲、烹飪,一杯奶茶,紅茶加了牛奶就是奶茶。
